Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;298;3829;1.14104e+06
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;103;3817;393151
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;312;3793;1.18342e+06
7.KERATIN (4) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Пена;Стайлинг;258;3771;972918
ЧУДОВ_ МОМЕНТИ (ГОЛУБОЙ) 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;294;3763;1.10632e+06
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;307;3763;1.15524e+06
6458 ПРОТИ ЗМОРШОК В_ДНОВЛ.Н_Ч 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;116;3757;435812
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;310;3747;1.16157e+06
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;267;3738;998046
"4.""NUTRITIVE"" ДОВГ.ВОЛ. СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;206;3736;769616
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;317;3734;1.18368e+06
4.POWER ЛАК Д/ВОЛОССЯ З КЕРАТИНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;254;3713;943102
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;261;3654;953694
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;201;3646;732846
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;227;3625;822875
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;334;3610;1.20574e+06
ЛАК ДЛЯ ВОЛОССЯ COLOR GUARD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;153;3590;549270
3.ЗЕЛ.СЕР_Я ЛАК 350МЛ ЗСФ Д/ТОНКОГО ВОЛОССЯ 3305300000,;TAFT;Лак;Стайлинг;178;3590;639020
SPORT DOUBLE POWER COOL FRESH 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;325;3575;1.16188e+06
5-1 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;132;3571;471372
SPORT DOUBLE POWER MEN POWER BOOST 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;279;3571;996309
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;371;3569;1.3241e+06
1100 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;103;3543;364929
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;253;3542;896126
ЙОГУРТ ВАН_ЛЬНИЙ МЕД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;321;3531;1.13345e+06
4-58 МОККО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;113;3471;392223
ЛАК ДЛЯ ВОЛОССЯ FIX&SMOOTH 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;147;3469;509943
"3.""TOTAL-В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;235;3461;813335
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;236;3450;814200
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;93;3446;320478
700 ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;93;3446;320478
N2 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;303;3445;1.04384e+06
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;246;3444;847224
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;140;3413;477820
