Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;220;3242;713240
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;87;3224;280488
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;283;3217;910411
1-13 СМОРОДИНОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;102;3208;327216
8-15 ШАМПАНЬ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;104;3194;332176
ДЕЗ.СТ_К XTREME COOL 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;205;3177;651285
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;248;3174;787152
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;215;3169;681335
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;150;3166;474900
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;226;3164;715064
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;278;3160;878480
ШАМПУНЬ 225МЛ PUSH-UP ОБ`ЄМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;396;3148;1.24661e+06
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 90Г 3401110000,;FA;FA-мыло;Мыло;1027;3142;3.22683e+06
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;395;3140;1.2403e+06
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;155;3126;484530
ОХОЛОДЖЕННЯ ЕКСТРИМ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;257;3125;803125
ДЕЗ.СТ_К XTREME DRY 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;201;3115;626115
G3 ЗОЛОТИСТИЙ ТРЮФЕЛЬ 3305909000,;PALETTE;PALETTE;Краска;274;3115;853510
КРЕМ-ГЕЛЬ ДЛЯ ВМИВАННЯ ЗВУЖУЮЧИЙ ПОРИ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;147;3114;457758
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;264;3109;820776
4058 М`ЯКИЙ ЛОСЬЙОН ДЛЯ ЗНЯТТЯ МАК_ЯЖУ 125МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;170;3094;525980
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;221;3094;683774
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;350;3080;1.078e+06
RF3 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;PALETTE;Краска;270;3069;828630
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;208;3063;637104
МУС ДЛЯ УКЛАДКИ FIX&SMOOTH 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;148;3062;453176
898 Н_ЧНИЙ Д_АМАНТ 3305909000,;BRILLANCE;BRILLANCE;Краска;108;3051;329508
C1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;268;3047;816596
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;266;3024;804384
"2.""ЗАХИСТ КОЛЬОРУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;208;3020;628160
ШАМПУНЬ 380МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;251;3009;755259
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;264;3001;792264
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;213;2982;635166
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;296;2945;871720
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;210;2940;617400
600 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;79;2927;231233
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;209;2926;611534
ШАМПУНЬ 225МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;368;2925;1.0764e+06
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;207;2898;599886
RF3 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;PALETTE;Краска;207;2898;599886
4.POWER ЛАК Д/ВОЛОССЯ З КОФЕЇНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;198;2894;573012
ШАМПУНЬ 225МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;363;2885;1.04726e+06
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;359;2868;1.02961e+06
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;252;2865;721980
5-82 ШОКОЛАДНИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;90;2831;254790
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;354;2817;997218
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;145;2813;407885
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;246;2797;688062
5-82 ШОКОЛАДНИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;91;2795;254345
9-5 ПЕРЛИННИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;105;2795;293475
2-10 ЧОРНО-КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;138;2794;385572
4054 ПРОТИ ЗМОРШОК ЗВОЛОЖ.ДЕНЬ 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;86;2785;239510
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;227;2783;631741
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;348;2780;967440
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;75;2779;208425
ШАМПУНЬ 225МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;434;2760;1.19784e+06
300 ЧОРНО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;74;2742;202908
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;101;2733;276033
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;195;2730;532350
ЧУДОВ_ МОМЕНТИ КРЕМ-ГЕЛЬ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;252;2724;686448
6-76 МЕРЕХТЛИВИЙ М_ДНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;134;2713;363542
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;212;2713;575156
3.ЗЕЛ.СЕР_Я ЛАК ЗСФ Д/ТОНКОГО ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;226;2707;611782
"ТОН_К LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;97;2705;262385
SPORT DOUBLE POWER COOL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;211;2700;569700
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;280;2693;754040
C6 ХОЛОДНИЙ СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE;PALETTE;Краска;236;2683;633188
"11.МАСКА SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 250МЛ 3305909000,";SYOSS;Маска;Уход за волосами;89;2678;238342
10.СПРЕЙ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 250МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;92;2676;246192
650 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;188;2671;502148
SENSUAL&OIL КВ_ТКА Т_АРЕ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;120;2664;319680
RI5 ВОГНЯНИЙ ЧЕРВОНИЙ 3305909000,;PALETTE;PALETTE;Краска;190;2660;505400
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;246;2659;654114
SPORT DOUBLE POWER MEN POWER BOOST 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;241;2651;638891
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;270;2651;715770
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;275;2645;727375
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;179;2636;471844
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;123;2634;323982
6-76 МЕРЕХТЛИВИЙ М_ДНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;91;2632;239512
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;184;2614;480976
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;186;2604;484344
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;98;2595;254310
"3.""TOTAL-В_ДНОВЛЕННЯ"" СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;117;2590;303030
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;211;2586;545646
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;323;2580;833340
7-10 НАТУРАЛЬНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;89;2574;229086
ШОВК _ МАГНОЛ_Я 90Г 3401110000,;FA;FA-мыло;Мыло;840;2570;2.1588e+06
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;180;2557;460260
5-85 ГОР_ХОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549;211567
7-58 ДИМЧАСТИЙ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549;211567
1-18 Г_РКИЙ ШОКОЛАД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549;211567
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;833;2548;2.12248e+06
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;140;2539;355460
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;255;2537;646935
ЧАР_ВН_ МОМЕНТИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;196;2508;491568
ЙОГУРТ ВАН_ЛЬНИЙ МЕД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;232;2507;581624
ГЕЛЬ ДЛЯ ВМИВАННЯ БАЛАНСУЮЧИЙ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;118;2500;295000
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;176;2464;433664
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;175;2450;428750
4.POWER Р_ДИНА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Жидкость для укладки;Стайлинг;116;2448;283968
2-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;92;2436;224112
6-10 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;120;2430;291600
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;213;2421;515673
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;213;2421;515673
"2.ЧЕРВ.СЕР_Я ГЕЛЬ-В_СК ""СЯЯННЯ Д_АМАНТ_В"" 75МЛ 3305909000,";TAFT;Гель-воск;Стайлинг;120;2419;290280
ШАМПУНЬ 380МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;197;2419;476543
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;44;2417;106348
NUTRI SKIN NATURAL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;187;2393;447491
"3.""TOTAL-В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;108;2391;258228
5-86 КАРАМЕЛЬНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;118;2389;281902
ДЕЗ.СТ_К XTREME SPORTS 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;154;2387;367598
RFE3 БАКЛАЖАН 3305909000,;PALETTE;PALETTE;Краска;209;2376;496584
5-92 НАСИЧЕНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;117;2369;277173
3-82 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;OLEO INTENSE;Краска;117;2369;277173
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;87;2354;204798
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;168;2352;395136
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;196;2350;460600
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;206;2342;482452
6908 МАТУВАННЯ ТА ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;92;2340;215280
7-10 НАТУРАЛЬНИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;115;2328;267720
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;204;2319;473076
9-10 ЯСКРАВИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;114;2308;263112
6-7 ЗОЛОТИСТИЙ ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;85;2300;195500
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;118;2289;270102
600 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;124;2285;283340
9-52 БЛОНД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;74;2273;168202
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;93;2267;210831
ДЕЗ.АЕРОЗОЛЬ XTREME SPORTS 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;170;2267;385390
ШОВК _ МАГНОЛ_Я 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;257;2261;581077
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;159;2259;359181
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;188;2240;421120
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;129;2239;288831
9-60 П_СОЧНИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;110;2227;244970
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;84;2224;186816
6489 ЗАХИСТ _ ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;87;2213;192531
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;172;2213;380636
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;251;2208;554208
4-18 ШОКОЛАДНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;109;2207;240563
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;151;2207;333257
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;73;2196;160308
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;178;2178;387684
4-18 ШОКОЛАДНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;75;2169;162675
8-6 СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;80;2164;173120
4.POWER П_НА Д/УКЛАДКИ З КЕРАТИНОМ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;148;2150;318200
1-10 ГЛИБОКИЙ ЧОРНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;106;2146;227476
ЛАК ДЛЯ ВОЛОССЯ SHINE&HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;89;2100;186900
4138 ФОРМУЛА МОЛОДОСТ_ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;38;2088;79344
4-60 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;103;2085;214755
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;209;2079;434511
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;182;2069;376558
4058 М`ЯКИЙ ЛОСЬЙОН ДЛЯ ЗНЯТТЯ МАК_ЯЖУ 125МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;113;2055;232215
12-0 _НТЕНСИВНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;77;2049;157773
МУС ДЛЯ УКЛАДКИ VOLUME LIFT 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;98;2039;199822
ГЕЛЬ Д/ДУШУ XTREME SPORTS 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;155;2033;315115
"9.""ЕКСТРЕМ.ОБ`ЄМ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;127;2028;257556
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ _ БАМБУК 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;188;2021;379948
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;171;2014;344394
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;167;2000;334000
ЧАР_ВН_ МОМЕНТИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;154;1981;305074
"4.""NUTRITIVE"" ДОВГ.ВОЛ. БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;168;1979;332472
6.ХАЙД_ ЛАК Д/ГАРЯЧОЇ УКЛАДКИ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;135;1973;266355
"2.""ЗАХИСТ КОЛЬОРУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;167;1967;328489
4-86 ПРАЛ_НЕ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;64;1966;125824
ЙОГУРТ АЛОЕ ВЕРА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;181;1956;354036
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;171;1944;332424
"2.""ЗАХИСТ КОЛЬОРУ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;107;1940;207580
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;73;1933;141109
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;631;1930;1.21783e+06
10.БАЛЬЗАМ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;93;1925;179025
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;163;1920;312960
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;168;1910;320880
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;86;1909;164174
0295 ЗВОЛОЖУЮЧИЙ Н_ЖНИЙ ТОН_К 200МЛ 3304990000,;DIADEMINE;NUTRI EFFECT;Уход за кожей;90;1907;171630
811 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;68;1892;128656
883 ЕЛЕГАНТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;68;1892;128656
818 П_ВН_ЧН_ ПЕРЛИ 3305909000,;BRILLANCE;BRILLANCE;Краска;67;1864;124888
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;164;1864;305696
"3.ЗЕЛ.СЕР_Я ЛАК ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 225МЛ 3305300000,";TAFT;Лак;Стайлинг;124;1857;230268
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;50;1853;92650
RI5 ВОГНЯНИЙ ЧЕРВОНИЙ 3305909000,;PALETTE;PALETTE;Краска;163;1853;302039
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;155;1847;286285
ФРИСТАЙЛ 3D 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;167;1847;308449
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;156;1837;286572
9-5 ПЕРЛИННИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;69;1827;126063
6-10 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;63;1822;114786
4.POWER ЛАК Д/ВОЛОССЯ З КЕРАТИНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;152;1820;276640
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;160;1819;291040
9-1 ДУЖЕ СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;67;1813;121471
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;121;1812;219252
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;159;1807;287313
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;159;1807;287313
586 ЧЕРВОНЕ ДЕРЕВО 3305909000,;COLOR MASK;COLOR MASK;Краска;98;1806;176988
4.ШАМПУНЬ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;87;1800;156600
"9.""ЕКСТРЕМ.ОБ`ЄМ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;73;1779;129867
8-6 СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;67;1774;118858
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;156;1773;276588
10.СПРЕЙ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 250МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;58;1754;101732
ЧАР_ВН_ МОМЕНТИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;171;1751;299421
819 КРИСТАЛЬНА ШАМПАНЬ 3305909000,;BRILLANCE;BRILLANCE;Краска;63;1743;109809
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;94;1732;162808
ОХОЛОДЖЕННЯ ЕКСТРИМ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;134;1724;231016
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;71;1721;122191
