Бренд;Количество;Сумма
PALETTE;52892;762441
SYOSS;31416;723321
GLISS KUR;31047;530323
FA;40369;393752
SCHAUMA;33506;344022
COLOR MASK;9100;314254
PERFECT MOUSSE;3438;118209
BRILLANCE;4045;113860
DIADEMINE;1909;60934
FAЬ;1228;16110
SEBORIN;166;2571
