Наименование;Бренд;Линейка;Категория;Количество;Сумма
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;348;7203,6
4.POWER ГЕЛЬ Д/УКЛАДКИ З КОФЕЇНОМ 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;79;1592,64
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;23;322
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;266;5535,46
1.СИН.СЕР_Я ULTRA П_НА ЗСФ З АРГ_Н_НОМ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;8;117,92
ШАМПУНЬ В_Д ЛУПИ Д/ЧАСТОГО ВИКОРИСТАННЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;33;504,9
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;105;667,8
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;23;254,38
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;742;7382,9
КРЕМ-ГЕЛЬ ДЛЯ ВМИВАННЯ ЗВУЖУЮЧИЙ ПОРИ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;147;3114,93
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;44;421,08
RI5 ВОГНЯНИЙ ЧЕРВОНИЙ 3305909000,;PALETTE;PALETTE;Краска;487;6920,27
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;266;3024,42
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;8;117,84
899 ПУРПУРОВИЙ АМЕТИСТ 3305909000,;BRILLANCE;BRILLANCE;Краска;5;138,35
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;17;280,16
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;204;2319,48
665 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-28;-968,52
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;79;1455,97
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;1;19,82
3.ЗЕЛ.СЕР_Я П_НА Д/СУХОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;-3;-38,76
"2.ЧЕРВ.СЕР_Я П_НА ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;60;707,4
"2.""ЗАХИСТ КОЛЬОРУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;348;5126,04
13.СПРЕЙ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 150МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;12;126,6
ШАМПУНЬ 380МЛ ФРУКТИ ТА В_ТАМ_НИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;-27;-323,73
ШАМПУНЬ 380МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;488;5992,64
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;60;589,2
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;348;2780,52
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;79;971,7
ДЕЗ.СТ_К XTREME COOL 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;17;265,03
VN3 СЛИВА 3305909000,;PALETTE;PALETTE;Краска;758;10612
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;147;1170,12
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;23;220,11
SPORT DOUBLE POWER SPORTY FRESH 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;33;356,73
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;12;117,72
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;1;17,57
9-1 ДУЖЕ СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;5;133,15
8-5 МЕДОВА ГЛАЗУР 3305909000,;PALETTE; COLOR&GLOSS;Краска;-3;-41,94
811 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;205;5791,25
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;267;3738
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;8;117,84
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;45;1354,05
1-10 ГЛИБОКИЙ ЧОРНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;106;2146,5
ШАМПУНЬ 225МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;23;146,28
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;60;574,2
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;33;323,73
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;350;3080
МУС ДЛЯ УКЛАДКИ FIX&SMOOTH 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;148;3062,12
ДЕЗ.СТ_К XTREME COOL 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;205;3177,5
БАЛЬЗАМ 200МЛ ФРУКТИ ТА В_ТАМ_НИ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;-25;-199,75
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;12;114,84
N3 КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;490;6962,9
C1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;268;3047,16
8-6 СВ_ТЛИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;80;2164,8
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;1;14,98
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;17;241,57
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;45;1197,9
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;8;116,24
3.ЗЕЛ.СЕР_Я ЛАК ЗСФ Д/ТОНКОГО ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;761;11125,82
"3.""TOTAL-В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;-3;-43,56
2-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;5;133,1
"2.""ЗАХИСТ КОЛЬОРУ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;107;1940,98
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;107;1275,44
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;351;3882,06
БАЛЬЗАМ 200МЛ PUSH-UP ОБ`ЄМ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;60;381,6
RFE3 БАКЛАЖАН 3305909000,;PALETTE;PALETTE;Краска;17;238
RF3 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;PALETTE;Краска;270;3069,9
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;12;111,96
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 90Г 3401110000,;FA;FA-мыло;Мыло;493;1513,51
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;80;986,4
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;8;113,68
G3 ЗОЛОТИСТИЙ ТРЮФЕЛЬ 3305909000,;PALETTE;PALETTE;Краска;761;10813,81
7-5 СОЛОДКИЙ ГОР_Х 3305909000,;PALETTE; COLOR&GLOSS;Краска;-3;-43,62
500 СЕРЕДН_Й КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;24;830,16
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;45;1191,6
4.POWER П_НА Д/УКЛАДКИ З КЕРАТИНОМ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;148;2150,44
3-82 ТЕПЛИЙ ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;5;132,4
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;1;11,37
200 ДУЖЕ СВ_ТЛИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;-24;-336
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;34;905,08
1200 _НТЕНСИВНИЙ ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;206;7086,4
ШОВК _ МАГНОЛ_Я 90Г 3401110000,;FA;FA-мыло;Мыло;12;29,28
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;270;2651,4
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;17;209,61
C1 СИНЬО-ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;762;10828,02
900 ЧОРНИЙ 3305909000,;PALETTE;Фитолиния;Краска;8;113,68
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;494;10937,16
898 Н_ЧНИЙ Д_АМАНТ 3305909000,;BRILLANCE;BRILLANCE;Краска;108;3051
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;149;1694,13
842 СПЕКОТНА Н_Ч 3305909000,;BRILLANCE;BRILLANCE;Краска;61;1697,63
706 БЛАГОРОДНИЙ ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; DELUXE;Краска;5;121,55
6908 МАТУВАННЯ ТА ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;-3;-68,22
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;80;943,2
500 СЕРЕДН_Й КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;352;12108,8
4138 ФОРМУЛА МОЛОДОСТ_ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;2;109,88
"4.""NUTRITIVE"" ДОВГ.ВОЛ. СИРОВАТКА-СПРЕЙ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;206;3736,84
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;24;590,88
1.СИН.СЕР_Я ULTRA П_НА З ЕКСТР.ОЛ_Ї АРГАНА 150МЛ 3305909000,;TAFT;Пена;Стайлинг;-23;-334,19
"1.""Р_ДКИЙ ШОВК"" СИРОВАТКА-СПРЕЙ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Сыворотка-спрей;Уход за волосами;45;996,3
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;34;752,76
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;17;203,83
ЛАК ДЛЯ ВОЛОССЯ VOLUME LIFT 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;5;118
КРЕМ-ГЕЛЬ ДЛЯ ВМИВАННЯ ЗВУЖУЮЧИЙ ПОРИ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;34;724,54
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;149;1610,69
Д.КАСПАР_ КРЕМ Д/КОНТУР_В ОЧЕЙ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;13;603,33
NATURAL&FRESH ЖАСМИН _ КОКОСОВА ВОДА 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;80;880
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;764;10696
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;352;7983,36
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;8;113,68
7.БАЛЬЗАМ MOISTURE INT.CARE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-23;-380,42
6489 ЗАХИСТ _ ЗВОЛОЖЕННЯ ДЕННИЙ ДОГЛЯД 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;-3;-68,22
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;61;1650,66
4054 ПРОТИ ЗМОРШОК ЗВОЛОЖ.ДЕНЬ 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;2;65,14
"3.""TOTAL-В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;108;2391,12
"3.""TOTAL-В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;271;3934,92
254 БЕЖЕВИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;206;2342,22
2.ШАМПУНЬ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;45;936,45
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;24;590,88
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;497;11003,58
ШАМПУНЬ 380МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;770;9232,3
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;80;796
МОДЕЛЮЮЧА КРЕМ-ПАСТА STRONG HOLD 150МЛ 3305909000,;SYOSS;Паста;Стайлинг;-3;-71,46
ЛАК ДЛЯ ВОЛОССЯ HOLD&FLEX 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;5;118
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;17;193,29
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;8;112
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;24;531,36
888 ДИКА ВИШНЯ 3305909000,;BRILLANCE;BRILLANCE;Краска;13;359,71
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;352;5001,92
7.БАЛЬЗАМ MOISTURE INT.CARE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-23;-455,86
5-82 ШОКОЛАДНИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;2;61,78
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;61;1615,28
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;497;7062,37
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;272;5630,4
4-58 МОККО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;207;6512,22
3.ШАМПУНЬ COLOR GUARD Д/ФАРБ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;34;707,54
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;150;3166,5
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;45;931,5
1.СИН.СЕР_Я ULTRA ЛАК Б/ЗАПАХУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;108;1617,84
ШАМПУНЬ 380МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;354;4244,46
ШАМПУНЬ 225МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;770;6152,3
МУС ДЛЯ УКЛАДКИ HOLD&FLEX 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;5;104,05
ЛАК ДЛЯ ВОЛОССЯ FIX&SMOOTH 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;507;11899,29
"ГЕЛЬ ДЛЯ ВМИВАННЯ LIFT+ ""ЗВУЖ.ПОР"" 150МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;2;60,98
БАЛЬЗАМ 200МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;108;858,6
БАЛЬЗАМ 200МЛ БЛИСК КОЛЬОРУ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;80;639,2
RF3 ЧЕРВОНИЙ ГРАНАТ 3305909000,;PALETTE;PALETTE;Краска;207;2898
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;24;525,36
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;17;193,29
7-6 РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;13;346,19
4058 М`ЯКИЙ ЛОСЬЙОН ДЛЯ ЗНЯТТЯ МАК_ЯЖУ 125МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;45;823,5
3-12 КАКАО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;151;4750,46
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;273;3963,96
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;8;112
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;-3;-72,54
"1.СИН.СЕР_Я ULTRA ЛАК ""ШОВКОВИЙ ДОТИК"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;-20;-292,4
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;61;885,72
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;34;560,32
ШАМПУНЬ В_Д ЛУПИ Д/ЖИРНОГО ВОЛОССЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;34;520,2
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;17;149,6
СПОРТ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;45;579,15
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;354;2817,84
МУС ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;5;92,5
ГЕЛЬ ДЛЯ ВМИВАННЯ БАЛАНСУЮЧИЙ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;24;511,44
БАЛЬЗАМ 200МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;80;508,8
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;795;11296,95
780 ЧЕРВОНЕ ВИНО 3305909000,;PALETTE;Фитолиния;Краска;207;2898
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;274;3893,54
7.ШАМПУНЬ MOISTURE INT.CARE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;-19;-376,58
6-7 ЗОЛОТИСТИЙ ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;2;53,26
5-24 ХОЛОДНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;13;344,24
4-18 ШОКОЛАДНИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;109;2207,25
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;8;111,44
204 ЗОЛОТИСТА ВАН_ЛЬ 3305909000,;PALETTE; DELUXE;Краска;-3;-73,32
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;151;2207,62
"14.ШАМПУНЬ GLOSSING ""ЕФЕКТ ЛАМ_НУВАННЯ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;62;1283,4
13.БАЛЬЗАМ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;509;10536,3
ШОВК _ МАГНОЛ_Я 90Г 3401110000,;FA;FA-мыло;Мыло;354;1086,78
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;17;108,12
МУС ДЛЯ УКЛАДКИ COLOR GUARD 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;5;88,1
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;62;1253,02
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;510;5610
G3 ЗОЛОТИСТИЙ ТРЮФЕЛЬ 3305909000,;PALETTE;PALETTE;Краска;274;3115,38
808 ЕЛЕГАНТНИЙ ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;PALETTE; DELUXE;Краска;13;316,03
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" OIL ЕЛ_КСИР 75МЛ 3305909000,";GLISS KUR;Эликсир;Уход за волосами;46;1258,1
6-7 ЗОЛОТИСТИЙ ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;2;53,24
"5.""ЕНЕРГ_Я РОСТУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;-17;-215,22
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;109;1518,37
4.POWER ЛАК Д/ВОЛОССЯ З КЕРАТИНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;152;1820,96
2.ШАМПУНЬ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;24;496,8
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;814;11990,22
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;208;3063,84
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;81;1492,83
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;8;111,44
100 ПЛАТИНОВИЙ БЛОНДИН 3305909000,;PALETTE; DELUXE;Краска;-3;-73,32
1.СИН.СЕР_Я ULTRA ЛАК Б/ЗАПАХУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;34;494,36
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;511;6126,89
"ТОН_К LIFT+ ""ЗВУЖ.ПОР"" 200МЛ 3304990000,";DIADEMINE;АНТИВ_КОВЕ ОЧИЩЕННЯ;Уход за кожей;-3;-78,54
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;62;756,4
Д.КАСПАР_ РОЗГЛАДЖ.Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;18;994,5
Д.КАСПАР_ КРЕМ Д/КОНТУР_В ОЧЕЙ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;110;5077,6
