Наименование;Бренд;Линейка;Категория;Количество;Сумма
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;7;79,59
2-10 ЧОРНО-КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;138;2794,5
"2.""ЗАХИСТ КОЛЬОРУ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;-46;-945,76
"14.ШАМПУНЬ GLOSSING ""ЕФЕКТ ЛАМ_НУВАННЯ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;4;66,24
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;32;851,84
1-13 СМОРОДИНОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;102;3208,92
1-1 ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;59;1562,32
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;76;911,24
ШАМПУНЬ 225МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;22;167,42
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;341;1046,87
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;138;1373,1
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;4;64,68
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;713;9982
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;16;222,88
607 БРОНЗОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-45;-1556,55
6.ХАЙД_ СПРЕЙ ТЕРМОЗАХИСН.Д/ГАРЯЧОЇ УКЛАДКИ 250МЛ 3305909000;TAFT;Спрей для укладки;Стайлинг;59;1495,65
5-25 ВИШНЕВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;1;30,89
4-89 ЧЕРВОНО-Ф_ОЛЕТОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;260;5124,6
400 ТЕМНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;473;16271,2
300 СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;12;170,52
